id,createdTime,fields.Network Data,fields.Type,fields.Name,fields.Last Modified,fields.Incoming Document,fields.Global
rec1nsp5LiESo9k97,2024-07-19T04:43:20.000Z,['reczcheaLPeHYEYud'],สำนักงานนโยบายและแผน,Energy News Center,2024-07-19T10:47:45.000Z,,
rec2QQK2MI1EX9Mvm,2024-08-18T15:58:38.000Z,['reccljFJZhLYQMS0d'],เอกชน,Samsung E&A,2024-08-18T15:59:45.000Z,,
rec2fJ0rZ2GF1Av5q,2024-07-19T04:00:45.000Z,,ภาครัฐ,สำนักนโยบายและแผนทรัพยากรธรรมชาติและสิ่งแวดล้อม,2024-07-19T10:40:15.000Z,"['recF9BuviMoAnvGIF', 'recQPvAkGoPpEqCRR', 'recVoCqyLWK97NjK0']",
rec2p8rkJ5ymRT3kb,2024-07-19T04:38:25.000Z,['rec3uThG3FHJZBflo'],เอกชน,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน)  ,2024-07-19T10:42:41.000Z,,
rec3zlBy5srtSx27C,2024-08-18T15:58:38.000Z,['recYyiMNn7dxU3N8x'],สมาคม,สมาคมการท่องเที่ยวสระบุรี,2024-08-18T16:04:27.000Z,,
rec4SVoDu4p190JER,2024-07-19T04:00:45.000Z,"['recKw39p2aXC8HC4M', 'recX0LuZSLNZEo4aC', 'recIKZD21gr7cTnn4', 'recWteWpyveAEZoqb', 'recKnS5Dj6FpCO4Ft', 'recNuXKTrSmLYlyYX']",เอกชน,ธนาคารกสิกรไทย (KBANK),2024-07-31T04:20:31.000Z,"['recXmLjHMw8lPWBvX', 'rechQBoM3hqsYtTQ8', 'recy64HiD8p7PDfG9']",
rec5LJzC1fAwQbHFG,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,คณะกรรมาธิการทรัพยากรธรรมชาติ,2024-07-19T10:47:45.000Z,['recQUfVxTdAxPAYju'],
rec5YequFjwzon3bA,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,สถาบันคาร์บอนเพื่อความยั่งยืน (CBiS),2024-07-19T10:47:45.000Z,['recGPi7sYRgVJ9S7Y'],
rec5aqCqfoiVvlF11,2024-07-19T04:00:45.000Z,,ภาครัฐ,สำนักงานเทคโนโลยีอวกาศและภูมิสารสนเทศ (องค์การมหาชน) GISTDA,2024-07-19T10:40:24.000Z,['recmbgLsEV4grpyCC'],
rec5azAMw2GErtP9I,2024-07-31T03:54:56.000Z,['reccGFcOHy6IX9BhC'],เอกชน,[x] โตโยต้า มอเตอร์,2024-07-31T04:12:02.000Z,,
rec5gg8KRBSkIllu7,2024-07-19T04:00:45.000Z,,ภาครัฐ,สถาบันรับรองคุณภาพสถานพยาบาล,2024-07-19T10:46:18.000Z,['rechvS9DZFpolOexX'],
rec5lseCC8q9jhBOR,2024-07-19T04:00:45.000Z,,มหาวิทยาลัย,มหาวิทยาลัยเทคโนโลยีสุรนารี ,2024-07-19T10:35:35.000Z,['rec3DN8lkQFXHtFWn'],
rec7UbDwdXBUnFRAs,2024-07-19T04:00:45.000Z,,ภาครัฐ,กระทรวงต่างประเทศ,2024-07-19T10:32:29.000Z,['recXQqGEsUehgR0xZ'],
rec7oYNiRiNJ2lwZR,2024-07-31T03:36:11.000Z,,เอกชน,[x] Techsauce,2024-08-18T16:11:44.000Z,"['recTYuuXL1xjw2s3n', 'recdXS2O331WWjEAY']",
rec9ZOeuqH5thMtaF,2024-07-19T04:00:45.000Z,,เอกชน,ธนาคารไทยพาณิชย์​ (SCB),2024-07-19T10:35:26.000Z,['recoK5qG46eoKa81E'],
recAIuh8eRVpWn1cN,2024-08-18T16:10:25.000Z,['recCLG9EUa8twuOWV'],pending,สภาพัฒนาเศรษฐกิจและสังคมแห่งชาติ  ,2024-08-19T05:02:47.000Z,,
recArUJu8OC7sp9IW,2024-07-19T04:00:45.000Z,,ภาครัฐ,ศิริราชพยาบาล,2024-07-19T10:43:14.000Z,['recOqQE6sQceCsiI1'],
recB1rbFGFDeTm7fZ,2024-08-18T15:58:38.000Z,['recWlMQAXB0NOqv4g'],ภาครัฐ,สำนักงานปกครองส่วนท้องถิ่นจังหวัดสระบุรี (สถ.จ.) ,2024-08-18T16:04:54.000Z,,
recBOaN3MdTun7P7F,2024-08-18T15:58:38.000Z,['recV8CJxWTEJHwXuZ'],ภาครัฐ,สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 7 (สระบุรี) ,2024-08-18T16:04:54.000Z,,
recBYiCzvRDrqYk8C,2024-07-19T10:41:38.000Z,['recpb5pnCHfHB3Fe8'],สำนักงานนโยบายและแผน,สำนักงานคณะกรรมการกำกับกิจการพลังงาน,2024-07-19T10:47:45.000Z,,
recBmUJqLv4xFUvXh,2024-07-19T04:00:45.000Z,,สมาคม,สมาคมวิศวกรรมสิ่งแวดล้อม,2024-07-19T10:46:01.000Z,['rec8T2VwdISzxUpkc'],
recC8C5gYTyiQl7ml,2024-07-19T04:00:45.000Z,,ภาครัฐ,สำนักงบประมาณ,2024-07-19T10:40:24.000Z,['rec2kc61eGTYC7U2T'],
recEBGsTDH5Piqbwi,2024-07-19T04:00:45.000Z,,ภาครัฐ,กรมพัฒนาพลังงานทดแทน,2024-07-19T10:32:29.000Z,['recZOzKxfgcbFW4dM'],
recEcpVcUgaajFAMc,2024-07-19T04:43:44.000Z,['recAxdv2QGe7b2qX8'],เอกชน,บมจ.อสมท,2024-07-19T10:41:38.000Z,,
recEjxuLJZd0Gw9U6,2024-08-18T16:10:25.000Z,['rec0i66wyDqWMZFvK'],pending,สมาพันธ์เอสเอ็มอีไทย,2024-08-19T05:02:45.000Z,,
recFtSoKFBg65YmsA,2024-08-18T15:58:38.000Z,['recqtuo3j2TaVBTzH'],pending,Business Sweden,2024-08-18T15:59:33.000Z,,
recGOGRrD6v8j1NHt,2024-08-18T15:58:38.000Z,['recb8OuVUo0DcMgyz'],เอกชน,บริษัท ทีพีไอ โพลีน เพาเวอร์ จำกัด (มหาชน) TPI Polene Power,2024-08-18T16:01:30.000Z,,
recGeN0vCyUNpgllS,2024-08-18T15:58:38.000Z,['recth9zK400lGP6tW'],องค์กร,องค์กรความร่วมมือระหว่างประเทศของเยอรมัน (GIZ),2024-08-18T16:05:12.000Z,,
recGgDNNn7dUpXF0b,2024-07-19T04:00:45.000Z,,เอกชน,มิตรผล,2024-07-19T10:35:37.000Z,['rec8lTka9quTzu3Lg'],
recGlFj8BpyTsXWr0,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,สถาบันระหว่างประเทศเพื่อการค้าและการพัฒนา,2024-07-19T10:47:45.000Z,['rech9L7MgoyQuQag1'],
recGmDDpOvRfX96Cq,2024-07-19T04:00:45.000Z,,สมาคม,สมาคมการจัดการของเสียอย่างยั่งยืน,2024-07-19T10:46:05.000Z,['reckB1zQIs4XusqzQ'],
recH0PRSWVCqZwJtq,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),2024-07-19T10:47:45.000Z,['recNlcItaPufxkiyu'],
recJBNXoLiwNgWLsj,2024-08-18T15:58:38.000Z,['recIGoPO800tll6w4'],pending,GIZ,2024-08-18T15:59:41.000Z,,
recM59wSSD5773Ys6,2024-08-18T15:58:38.000Z,['recaUTKCJLcUZs4RE'],ภาครัฐ,สำนักจัดการทรัพยากรป่าไม้ที่ 5 (สระบุรี),2024-08-18T16:04:54.000Z,,
recOVzCASBczCfogc,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,Social Value Thailand,2024-07-19T10:47:45.000Z,['rec3huhtJJrkp2Zmh'],
recPjV2LBWPsB3lDY,2024-07-19T04:00:05.000Z,,เอกชน,Bualuang SME Club,2024-07-19T10:31:41.000Z,['recq8uwmRFcvE9pE7'],
recQj2J5mpunZ6X9f,2024-07-19T04:00:05.000Z,,เอกชน,ตลาดหลักทรัพย์แห่งประเทศไทย (SET),2024-07-22T17:18:58.000Z,"['rec9JQYbVBUdljqcC', 'receh3wc7kSZCwixa', 'recPfHnpjhvwuouR1']",
recR2vPInlB2my8w7,2024-08-18T15:58:38.000Z,['rec26EZNJ9qiLBhwy'],มหาวิทยาลัย,มหาวิทยาลัยสงขลานครินทร์,2024-08-18T16:03:02.000Z,,
recRIBR8xBKoPUb0Z,2024-07-19T04:00:45.000Z,,pending,Ambassador of Sweden,2024-07-19T10:47:36.000Z,['recjuwCxeZjAechwj'],True
